Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,RP2354A,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,116.200000,-165.000000,0.000000,top
U2,FUSB302BMPX,MLP-14_L2.5-W2.5-P0.50-BL-EP,100.500000,-176.000000,0.000000,top
U3,HD3SS3220RNHR,WQFN-30_L4.5-W2.5-P0.4-BL-EP,109.000000,-121.500000,0.000000,top
U4,GL3510-OSY52,QFN-64_L8.0-W8.0-P0.40-BL-EP5.4,109.000000,-137.000000,0.000000,top
U5,RT9013-33GB,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,118.500000,-182.500000,90.000000,top
U6,TLV70212DBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,114.000000,-186.500000,90.000000,top
U7,HD3SS3212IRKSR,DHVQFN-20_L4.5-W2.5-P0.50-BL-EP,106.000000,-154.500000,-90.000000,top
U8,"74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,98.400000,-183.200000,0.000000,top
U9,"74AVC1T45GW,125",SC-88-6_L2.0-W1.3-P0.65-LS2.1-BL,101.900000,-183.200000,0.000000,top
U10,AP22653W6-7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,118.500000,-189.000000,90.000000,top
Y1,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,115.750000,-171.200000,0.000000,top
Y2,25MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,98.600000,-143.500000,90.000000,top
